Searching for directories that have exceeded 5 megabytes
    Size (mb)  Files  Directory
         0.46     12  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\basecamp\aquifer\aquifertechnology
         0.10      2  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\basecamp\aquifer\aquifertechnology102183
         0.70     10  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\basecamp\aquifer\aquifertechnology3
         0.31      7  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\basecamp\aquifer\dlfaquiferprojectmanagement
         0.00      0  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\basecamp\bestpractices
         0.69      7  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\basecamp\bestpractices\photographspreservationdigitization
         0.99    108  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\basecamp\bestpractices\photographspreservationdigitization\rhodes1105_files
         0.02      1  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\basecamp\bestpractices\photographspreservationdigitization1
         0.00      0  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\basecamp\dlf
         0.25      5  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\basecamp\dlf\dlfaquiferprojectmanagement
         0.00      0  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\basecamp\oaiimls
         0.49     16  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\basecamp\oaiimls\oaiimls
         3.07     38  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\basecamp\oaiimls\oaiimls1
         0.00      0  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\brogan
         0.03      1  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\cgi-bin
         0.22     12  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\collections
         3.68     19  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\collections\aic
         1.35     23  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\collections\reg
         0.27     10  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\collections\ssda
         0.20     11  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\collections\vrtool
         0.86     20  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\collstrat
         0.01      2  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\css
         0.00      1  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums
         0.43     34  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2000
         0.76    123  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2000\ammen_files
         0.13     42  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2000\beebe_files
         0.65     93  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2000\chandler_files
         0.43     86  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2000\dempsey_files
         0.66     96  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2000\dunn_files
         0.32     76  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2000\fleischhauer_files
         0.09     29  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2000\greenstein_files
         0.12     29  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2000\lavoie_files
         0.09     30  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2000\marmor_files
         0.50    150  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2000\millman_files
         0.31     45  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2000\ockerbloom_files
         0.21     71  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2000\palmer_files
         0.77     85  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2000\prom_files
         0.84    192  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2000\ramirez_files
         0.33     81  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2000\thibodeau_files
         0.22     39  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2000\willett_files
         0.22     66  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2000\zia_files
         0.31     33  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2001
         0.85     97  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2001\allen_files
         0.34     66  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2001\bellinger_files
         0.51     83  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2001\brancolini_files
         1.20    227  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2001\chandleretal_files
         1.50    182  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2001\crossref_files
         0.91    144  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2001\dempsey_files
