Searching for directories that have exceeded 5 megabytes
    Size (mb)  Files  Directory
         1.52     73  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2005\presentations\popham1105_files
         0.99    108  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2005\presentations\rhodes1105_files
         0.11     27  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2005\presentations\riley1105_files
         0.15     29  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2005\presentations\rose1105_files
         0.23     27  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2005\presentations\seaman-oaigrant1105_files
         0.33     24  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2005\presentations\shirky1105_files
!        5.22    175  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2005\presentations\stedfeld1105_files
         0.41     64  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2005\presentations\surface1105_files
         0.59     81  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2005\presentations\umich1105_files
         0.93     84  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2005\presentations\young1105_files
         0.15      6  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2006
         0.31      8  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2000
         0.77     87  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2000\cdl1
         0.20     30  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2000\cdl2
         1.29     84  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2000\cmu
         0.56     57  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2000\cornell1
         1.38     79  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2000\cornell2
         0.19     36  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2000\dlf
         0.42     92  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2000\indiana
         0.31     66  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2000\michigan
         0.41    105  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2000\penn
         0.27     63  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2000\stanford
         0.54     98  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2000\yale
         0.67     17  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2001
         0.24     14  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2002
!        6.57     24  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2003
         0.58    103  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2003\DLFRightsmgmt_files
!       10.23    217  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2003\fedora_johnston_dlf_files
         2.52    152  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2003\oclc_dlf_files
         0.33     65  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2003\Seaman-DLFToday_files
         2.05    239  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2003\usc-dhw-dlfspring2003_files
         0.62    138  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2003\vandesompelOAI-SR_files
         1.24    106  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2003\Yale_DLF51403_files
         1.61     76  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2004
         0.51     79  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2004\antelman0404_files
         2.46    197  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2004\covey0404_files
         3.50    153  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2004\Dalton0404_files
         0.73     67  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2004\Eaton0404_files
         0.59     62  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2004\FarleyPisciotta0404_files
         0.16     35  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2004\Flecker0404_files
         0.83    120  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2004\fornadley0404_files
         1.08     86  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2004\godby0404_files
         0.28     43  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2004\Greenbaum0404_files
         0.19     24  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2004\Guenther0404_files
         0.15     21  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2004\habing0404_files
         0.13     23  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2004\hagedorn0404_files
         3.28    107  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2004\hayes0404_files
         1.71     71  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2004\houser0404_files
         0.32     28  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2004\Johnston0404_files
         1.14    104  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2004\keith0404_files
         3.38     68  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2004\Koetter0404_files
         0.99     64  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2004\kurth0404_files
         1.77     79  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2004\LaMarca0404_files
         2.99    112  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2004\Lin0404_files
         0.07     15  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2004\Linke0404_files
!        5.62     81  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2004\lossau0404_files
         0.97     99  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2004\McGovern0404_files
         1.30    109  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2004\myrick0404_files
         0.68     46  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2004\ockerbloom0404_files
!        5.29    348  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2004\olstad0404_files
         2.23     79  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2004\paulson0404_files
!       44.05     27  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2004\powerpoint
         3.03    107  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2004\proffitt0404_files
         4.94     90  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2004\prom0404_files
         0.88     63  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2004\robertson0404_files
         0.26     48  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2004\ruddy0404_files
         0.60     89  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2004\sanderson0404_files
         0.19     32  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2004\seaman0404_files
         0.24     44  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2004\staples0404_files
         1.88    196  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2004\summann0404_files
         2.55    101  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2004\tennant0404_files
!        9.59    140  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2004\thomas0404_files
         0.18     29  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2004\Wendler0404_files
         0.23     85  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2004\wilkin0404_files
         0.16     32  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2004\young0404_files
         4.01     40  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2005
         0.00      0  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2005\pictures
!       65.00     44  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2005\pictures\sandiego
!      219.03     37  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2005\presentations
         4.72    233  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2005\presentations\Adly0405_files
         4.72    233  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2005\presentations\adly0504_files
         0.54     38  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2005\presentations\arms0504_files
         4.67    295  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2005\presentations\CCS0504_files
         0.68     77  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2005\presentations\choudhury0405_files
         0.67     77  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2005\presentations\choudhury0504_files
         0.79    181  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2005\presentations\cundiff0504_files
         0.18     30  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2005\presentations\esposito0504_files
         0.67    110  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2005\presentations\frymann0504_files
         0.24     37  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2005\presentations\halbert0504_files
         1.25     61  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2005\presentations\hess0504_files
         0.27     20  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2005\presentations\johnston-colldev0405_files
         0.27     22  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2005\presentations\johnston-colldev0504_files
         4.40     72  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2005\presentations\johnston-repo0405_files
         4.40     72  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2005\presentations\johnston-repo0504_files
         0.25     23  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2005\presentations\kehoe0504_files
         0.48     67  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2005\presentations\keith0504_files
         2.83     94  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2005\presentations\kott0504_files
         0.68    108  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2005\presentations\larson0504_files
         0.33     56  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2005\presentations\millman0504_files
         0.43     73  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2005\presentations\mischo0504_files
         0.76     54  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2005\presentations\moore0504_files
         1.78     91  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2005\presentations\morris0504_files
         2.98     93  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2005\presentations\morrisndiipp0504_files
         1.50     91  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2005\presentations\myrick0504_files
         0.64     45  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2005\presentations\ockerbloom0504_files
         0.21     31  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2005\presentations\paulson0504_files
         0.34     53  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2005\presentations\revelle0504_files
!        5.19    157  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2005\presentations\rohmann0504_files
         0.54     36  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2005\presentations\samuel0504_files
         1.97    135  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2005\presentations\sandler0504_files
         4.97    105  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2005\presentations\shawa0504_files
         0.30     45  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2005\presentations\shreeves0504_files
         0.99     69  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2005\presentations\skinner0504_files
         0.27     64  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2005\presentations\smith0504_files
!        6.66    121  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2005\presentations\toub0504_files
         0.16     25  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2005\presentations\walsh0504
         1.18     14  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2005\presentations\walshEtAl_METSnavigator
         0.43     54  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2005\presentations\walshEtAl_METSnavigator\riley0504_files
         1.06     15  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2006
!        6.01     59  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2006\presentations
!        5.02     93  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2006\presentations\aquifer0406_files
         0.21     33  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2006\presentations\bonn0406_files
         0.40     50  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2006\presentations\caplan0406_files
         2.88     55  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2006\presentations\chandler0406_files
         0.22     36  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2006\presentations\cramer0406_files
         1.00    254  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2006\presentations\cundiff0406_files
         0.26     61  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2006\presentations\endersA0406_files
         0.55    125  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2006\presentations\endersB0406_files
         1.21     84  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2006\presentations\farb0406_files
         1.19    108  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2006\presentations\foulonneau0406_files
         0.65    109  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2006\presentations\frost0406_files
         0.57     42  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2006\presentations\geitgey0406_files
         0.27     28  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2006\presentations\hagedorn0406_files
         1.09     63  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2006\presentations\halbert0406_files
         0.52    105  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2006\presentations\hoelbelheinrich0406_files
         2.66     57  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2006\presentations\kolodney0406_files
         1.71     46  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2006\presentations\kozbial0406_files
         0.76    193  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2006\presentations\kunze0406_files
         1.68     64  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2006\presentations\landis0406_files
         1.45     87  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2006\presentations\little0406_files
         2.81     49  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2006\presentations\mandell0406_files
         3.47     88  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2006\presentations\meltzer0406_files
         0.88     59  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2006\presentations\millman0406_files
!       22.39     89  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2006\presentations\mitchell0406_files
         0.79     52  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2006\presentations\muller0406_files
         1.26     72  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2006\presentations\nelson0406_files
         1.78    183  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2006\presentations\newman0406_files
!        5.66    142  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2006\presentations\ochoa0406_files
         3.72     63  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2006\presentations\ockerbloom0406_files
         1.74    141  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2006\presentations\pace0406_files
         0.40     41  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2006\presentations\poe0406_files
         0.17     31  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2006\presentations\prelinger0406_files
         1.05     31  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2006\presentations\proffitt0406_files
         3.20    276  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2006\presentations\reilly0406_files
         0.32     39  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2006\presentations\riley0406_files
         1.25     47  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2006\presentations\roland0406_files
         1.30     64  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2006\presentations\ruddy0406_files
         0.46    157  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2006\presentations\sanderson0406_files
         0.47     65  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2006\presentations\seneca0406_files
         4.45    228  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2006\presentations\tingle0406_files
         0.32     49  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2006\presentations\trail0406_files
         0.63     86  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2006\presentations\vandersompel0406_files
!        6.57    173  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2006\presentations\yakout0406_files
         0.00      0  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\spring2007
         0.16      8  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\summer1999
         0.37     83  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\summer1999\aadigcerts
         0.35     62  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\summer1999\drberkeley
         1.91     56  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\summer1999\drharvard
         0.19     21  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\summer1999\facornell
         0.17     35  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\summer1999\faemory
         0.31     53  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\summer1999\fanypl
         0.32     47  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\summer1999\fapennst
         0.56     39  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\summer1999\farlg
         2.60     75  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\summer1999\nsharvard
         0.26     51  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\summer1999\nslc
         0.40     87  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\summer1999\plenary
         0.62     90  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\summer1999\ptberkeley
         0.27     42  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\summer1999\ptlc
!        5.10    142  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\images
         0.50     51  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\img
         0.05      9  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\img\common
         0.01      9  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\img\glyph
         0.00      2  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\img\icons
         0.01      8  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\img\icons\tabs
         2.41     12  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\members
         0.24     15  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\members\steercomm
         0.02      2  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\members\steercomm\0003
         2.65     19  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\members\steercomm\0009
         0.72     15  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\members\steercomm\0106
         0.09      2  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\members\steercomm\0111
         0.14      5  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\members\steercomm\sc0009
         0.17     31  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\members\steercomm\SC0601_files
         0.00      0  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\news
         0.20      3  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\news\pressrelease
         0.02      1  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\oai
         0.00      0  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\picture_library
         0.02      8  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\presentations
         0.19     22  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\presentations\Advanced II_files
         0.20     25  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\presentations\Advanced I_files
         0.18     30  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\presentations\CALD2003_files
         0.23     34  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\presentations\cni-dlf1202_files
         0.20     35  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\presentations\ssp_files
         0.24     26  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\presentations\The E-ssential Library_files
         0.27     38  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\presentations\uksg2003_files
!        8.77    104  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\preserve
         0.10     33  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\preserve\harvard0206_files
         0.13     39  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\preserve\jisc0206_files
         0.00      3  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\preserve\nypl-final--pdf_files
         0.01      3  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\preserve\nypl-final_files
         0.00      0  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\preserve\presphoto
         0.13     37  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\preserve\stanford0206_files
!        6.60     62  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\pubs
         2.51     14  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\pubs\brogan
         1.23     14  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\pubs\brogan\Brogan0505
         0.02      8  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\pubs\brogan\Brogan2003_files
         0.63      3  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\pubs\Brogan0505
         2.21     34  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\pubs\cmsdl0407
         0.00      0  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\pubs\dlf087
         0.00      0  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\pubs\dlf088
         0.00      0  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\pubs\dlf089
         0.00      0  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\pubs\dlf090
         0.00      0  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\pubs\dlf091
         0.00      0  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\pubs\dlf092
         0.00      0  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\pubs\dlf093
         0.00      0  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\pubs\dlf094
         0.00      0  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\pubs\dlf095
         0.00      0  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\pubs\dlf096
         0.00      0  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\pubs\dlf097
         0.00      0  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\pubs\dlf098
         0.00      0  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\pubs\dlf099
         0.00      0  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\pubs\dlf100
         0.00      0  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\pubs\dlf101
         0.00      0  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\pubs\dlf102
         0.94      3  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\pubs\dlf103
         1.23     14  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\pubs\dlf104
         1.47     26  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\pubs\dlf105
         1.06     24  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\pubs\dlf105\images
         0.00      0  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\pubs\dlf106
